perc,TupleID,FalsePositive,modifiedtupleamt,cost,label
0.8,585.0,0.0,108.0,0.0,cost1
0.8,585.0,0.0,108.0,39.9318199,cost2
0.8,585.0,0.0,108.0,413315.219,cost3
0.8,295.0,0.0,40.0,0.0,cost1
0.8,295.0,0.0,40.0,1.19618595,cost2
0.8,295.0,0.0,40.0,3040.20532,cost3
0.8,262.0,0.0,33.0,0.0,cost1
0.8,262.0,0.0,33.0,0.867607117,cost2
0.8,262.0,0.0,33.0,1716.34509,cost3
0.8,428.0,0.0,6.0,0.0,cost1
0.8,428.0,0.0,6.0,0.128394172,cost2
0.8,428.0,0.0,6.0,213.743118,cost3
0.8,260.0,0.0,2.0,0.0,cost1
0.8,260.0,0.0,2.0,0.181818187,cost2
0.8,260.0,0.0,2.0,747.242249,cost3
0.8,713.0,0.0,37.0,0.0,cost1
0.8,713.0,0.0,37.0,1.03780079,cost2
0.8,713.0,0.0,37.0,2420.70044,cost3
0.8,25.0,0.0,37.0,0.0,cost1
0.8,25.0,0.0,37.0,1.03780079,cost2
0.8,25.0,0.0,37.0,2420.70044,cost3
0.8,133.0,0.0,2.0,0.0,cost1
0.8,133.0,0.0,2.0,0.181818187,cost2
0.8,133.0,0.0,2.0,747.242249,cost3
0.8,939.0,0.0,37.0,0.0,cost1
0.8,939.0,0.0,37.0,1.03780079,cost2
0.8,939.0,0.0,37.0,2420.70044,cost3
0.8,164.0,0.0,37.0,0.0,cost1
0.8,164.0,0.0,37.0,1.03780079,cost2
0.8,164.0,0.0,37.0,2420.70044,cost3
0.8,740.0,0.0,30.0,0.0,cost1
0.8,740.0,0.0,30.0,0.76443249,cost2
