id,solver,cardinality,logsize,dbsize,badcomplaints,remaincomplaints,fixedrate,noiserate,preptime,solvetime,finishtime,totaltime
138,cplex,1,5,10000,7042,0,1,0,76928000,25707000,19000,102654000
139,cplex,1,5,10000,1323,0,1,0,80202000,26817000,31000,107050000
140,cplex,1,5,10000,1238,0,1,0,77960000,26997000,19000,104976000
141,cplex,1,5,10000,38,0,1,0,74331000,26150000,19000,100500000
142,cplex,1,5,10000,1499,0,1,0,76355000,25737000,19000,102111000
143,cplex,1,5,10000,658,0,1,0,74495000,26800000,19000,101314000
144,cplex,1,5,10000,1808,0,1,0,73483000,26334000,20000,99837000
145,cplex,1,5,10000,4765,0,1,0,78378000,29672000,23000,108073000
146,cplex,1,5,10000,4,0,1,0,77869000,24459000,19000,102347000
147,cplex,1,5,10000,3787,0,1,0,75315000,25615000,19000,100949000
148,cplex,1,5,10000,3176,0,1,0,75529000,24615000,22000,100166000
149,cplex,1,5,10000,1677,0,1,0,76102000,24015000,18000,100135000
150,cplex,1,20,100,1,0,1,0,882000,724000,27000,1633000
151,cplex,1,20,100,35,0,1,0,1079000,788000,22000,1889000
152,cplex,1,20,100,1,0,1,0,935000,831000,13000,1779000
153,cplex,1,20,100,2,0,1,0,970000,747000,19000,1736000
154,cplex,1,20,100,25,0,1,0,1062000,744000,13000,1819000
155,cplex,1,20,100,9,0,1,0,827000,706000,25000,1558000
156,cplex,1,20,100,91,0,1,0,953000,708000,14000,1675000
157,cplex,1,20,100,3,0,1,0,870000,696000,13000,1579000
158,cplex,1,20,100,2,0,1,0,1110000,932000,20000,2062000
159,cplex,1,20,100,5,0,1,0,877000,826000,13000,1716000
160,cplex,1,20,100,4,0,1,0,1177000,895000,31000,2103000
161,cplex,1,20,100,43,0,1,0,837000,849000,13000,1699000
162,cplex,1,20,100,16,0,1,0,845000,838000,22000,1705000
163,cplex,1,20,100,8,0,1,0,1271000,835000,14000,2120000
164,cplex,1,20,100,3,0,1,0,956000,753000,16000,1725000
165,cplex,1,20,100,24,0,1,0,863000,859000,13000,1735000
166,cplex,1,20,100,61,0,1,0,858000,921000,14000,1793000
167,cplex,1,20,100,15,0,1,0,839000,787000,13000,1639000
168,cplex,1,20,100,20,0,1,0,845000,879000,13000,1737000
169,cplex,1,20,100,37,0,1,0,879000,823000,13000,1715000
170,cplex,1,20,100,1,0,1,0,866000,687000,13000,1566000
171,cplex,1,20,100,40,0,1,0,1001000,865000,12000,1878000
172,cplex,1,20,100,21,0,1,0,842000,897000,13000,1752000
173,cplex,1,20,100,13,0,1,0,828000,898000,23000,1749000
174,cplex,1,20,100,11,0,1,0,889000,795000,26000,1710000
175,cplex,1,20,100,66,0,1,0,914000,961000,17000,1892000
176,cplex,1,20,100,3,0,1,0,859000,919000,13000,1791000
177,cplex,1,20,100,16,0,1,0,919000,782000,22000,1723000
178,cplex,1,20,100,1,0,1,0,888000,904000,23000,1815000
179,cplex,1,20,100,3,0,1,0,846000,854000,13000,1713000
180,cplex,1,20,500,246,0,1,0,3859000,1904000,14000,5777000
181,cplex,1,20,500,61,0,1,0,3914000,1625000,14000,5553000
182,cplex,1,20,500,3,0,1,0,4073000,1544000,14000,5631000
183,cplex,1,20,500,173,0,1,0,3922000,1625000,26000,5573000
184,cplex,1,20,500,30,0,1,0,3811000,1760000,23000,5594000
185,cplex,1,20,500,354,0,1,0,3860000,1543000,14000,5417000
186,cplex,1,20,500,11,0,1,0,3919000,1838000,14000,5771000
187,cplex,1,20,500,5,0,1,0,4082000,1594000,14000,5690000
188,cplex,1,20,500,275,0,1,0,4052000,1777000,13000,5842000
189,cplex,1,20,500,292,0,1,0,3760000,1748000,15000,5523000
190,cplex,1,20,500,26,0,1,0,3909000,1568000,14000,5491000
191,cplex,1,20,500,3,0,1,0,4379000,1790000,523000,6692000
192,cplex,1,20,500,4,0,1,0,3903000,1718000,24000,5645000
193,cplex,1,20,500,24,0,1,0,3817000,1799000,23000,5639000
194,cplex,1,20,500,33,0,1,0,4087000,1754000,15000,5856000
195,cplex,1,20,500,500,0,1,0,4443000,1838000,17000,6298000
196,cplex,1,20,500,30,0,1,0,3920000,1858000,23000,5801000
197,cplex,1,20,500,34,0,1,0,3742000,1501000,13000,5256000
198,cplex,1,20,500,271,0,1,0,3903000,1566000,15000,5484000
199,cplex,1,20,500,3,0,1,0,3916000,1502000,24000,5442000
200,cplex,1,20,500,3,0,1,0,3981000,1566000,24000,5571000
201,cplex,1,20,500,24,0,1,0,3929000,1759000,27000,5715000
202,cplex,1,20,500,395,0,1,0,4160000,1780000,15000,5955000
203,cplex,1,20,500,225,0,1,0,4175000,1756000,24000,5955000
204,cplex,1,20,500,18,0,1,0,135473000,1672000,23000,137168000
205,cplex,1,20,500,45,0,1,0,3818000,1693000,26000,5537000
206,cplex,1,20,500,129,0,1,0,3924000,1873000,15000,5812000
207,cplex,1,20,500,164,0,1,0,3909000,1668000,23000,5600000
208,cplex,1,20,500,497,0,1,0,3836000,1724000,23000,5583000
209,cplex,1,20,500,220,0,1,0,3897000,1567000,14000,5478000
210,cplex,1,20,1000,610,0,1,0,8259000,2826000,16000,11101000
211,cplex,1,20,1000,7,0,1,0,8223000,2990000,15000,11228000
212,cplex,1,20,1000,3,0,1,0,7796000,2796000,18000,10610000
213,cplex,1,20,1000,838,0,1,0,7680000,2976000,26000,10682000
214,cplex,1,20,1000,169,0,1,0,7481000,2589000,25000,10095000
215,cplex,1,20,1000,97,0,1,0,7729000,2763000,15000,10507000
216,cplex,1,20,1000,2,0,1,0,7768000,2877000,14000,10659000
217,cplex,1,20,1000,3,0,1,0,8361000,3355000,19000,11735000
218,cplex,1,20,1000,1,0,1,0,7674000,3205000,20000,10899000
219,cplex,1,20,1000,129,0,1,0,7462000,2798000,17000,10277000
220,cplex,1,20,1000,117,0,1,0,7612000,2572000,15000,10199000
221,cplex,1,20,1000,150,0,1,0,7770000,2984000,32000,10786000
222,cplex,1,20,1000,231,0,1,0,7465000,2777000,25000,10267000
223,cplex,1,20,1000,31,0,1,0,8015000,2674000,15000,10704000
224,cplex,1,20,1000,147,0,1,0,7516000,3046000,21000,10583000
225,cplex,1,20,1000,202,0,1,0,8338000,2957000,16000,11311000
226,cplex,1,20,1000,182,0,1,0,7423000,2841000,25000,10289000
227,cplex,1,20,1000,488,0,1,0,7388000,3360000,17000,10765000
228,cplex,1,20,1000,2,0,1,0,7627000,2836000,15000,10478000
229,cplex,1,20,1000,316,0,1,0,7423000,3068000,16000,10507000
230,cplex,1,20,1000,12,0,1,0,186635000,5163000,25000,191823000
231,cplex,1,20,1000,167,0,1,0,7653000,2900000,16000,10569000
232,cplex,1,20,1000,229,0,1,0,7327000,2837000,15000,10179000
233,cplex,1,20,1000,2,0,1,0,7907000,3037000,16000,10960000
234,cplex,1,20,1000,289,0,1,0,7646000,3179000,17000,10842000
235,cplex,1,20,1000,790,0,1,0,7696000,2899000,25000,10620000
236,cplex,1,20,1000,4,0,1,0,7850000,2851000,24000,10725000
237,cplex,1,20,1000,96,0,1,0,7719000,3182000,16000,10917000
238,cplex,1,20,1000,956,0,1,0,7535000,2896000,16000,10447000
239,cplex,1,20,1000,270,0,1,0,7737000,2838000,16000,10591000
240,cplex,1,20,5000,2278,0,1,0,38094000,12804000,19000,50917000
241,cplex,1,20,5000,784,0,1,0,39370000,12846000,19000,52235000
242,cplex,1,20,5000,1,0,1,0,38611000,12516000,19000,51146000
243,cplex,1,20,5000,544,0,1,0,36741000,11937000,29000,48707000
244,cplex,1,20,5000,4621,0,1,0,37810000,12184000,18000,50012000
245,cplex,1,20,5000,119,0,1,0,37451000,12042000,20000,49513000
246,cplex,1,20,5000,2049,0,1,0,40111000,13528000,19000,53658000
247,cplex,1,20,5000,2435,0,1,0,40009000,12460000,19000,52488000
248,cplex,1,20,5000,1422,0,1,0,37019000,12573000,19000,49611000
1028,dt,1,5,1000,466,0,1,0,1368000,1536000,259000,3163000
1042,dt,1,5,1000,58,0,1,0,1398000,1240000,347000,2985000
1056,dt,1,5,5000,1509,0,1,0,5642000,26889000,233000,32764000
1070,dt,1,5,5000,819,0,1,0,4717000,2312000,205000,7234000
1084,dt,1,5,10000,3020,0,1,0,11358000,4852000,354000,16564000
1098,dt,1,5,10000,6,6,0,0,10477000,6690000,240000,17407000
1112,dt,1,20,100,5,0,1,0,617000,422000,223000,1262000
1125,dt,1,20,100,7,0,1,0,608000,378000,171000,1157000
1138,dt,1,20,100,6,1,0.833333,0,615000,407000,167000,1189000
249,cplex,1,20,5000,1,0,1,0,107727000,12489000,24000,120240000
250,cplex,1,20,5000,445,0,1,0,39777000,12628000,23000,52428000
251,cplex,1,20,5000,2,0,1,0,122290000,12482000,25000,134797000
252,cplex,1,20,5000,768,0,1,0,35035000,11570000,24000,46629000
253,cplex,1,20,5000,1450,0,1,0,49084000,13443000,26000,62553000
254,cplex,1,20,5000,315,0,1,0,36459000,11509000,27000,47995000
255,cplex,1,20,5000,2,0,1,0,35101000,11491000,25000,46617000
256,cplex,1,20,5000,4903,0,1,0,34876000,11313000,29000,46218000
257,cplex,1,20,5000,603,0,1,0,36363000,12376000,24000,48763000
258,cplex,1,20,5000,1669,0,1,0,35434000,10698000,24000,46156000
259,cplex,1,20,5000,5,0,1,0,117924000,11592000,43000,129559000
260,cplex,1,20,5000,222,0,1,0,34400000,11866000,26000,46292000
261,cplex,1,20,5000,790,0,1,0,35328000,12512000,26000,47866000
262,cplex,1,20,5000,800,0,1,0,124149000,10716000,23000,134888000
263,cplex,1,20,5000,4,0,1,0,34970000,11662000,24000,46656000
264,cplex,1,20,5000,2,0,1,0,35908000,12347000,47000,48302000
265,cplex,1,20,5000,334,0,1,0,37302000,13044000,51000,50397000
266,cplex,1,20,5000,106,0,1,0,35041000,16208000,23000,51272000
267,cplex,1,20,5000,120,0,1,0,162479000,11528000,22000,174029000
268,cplex,1,20,5000,863,0,1,0,35685000,11353000,23000,47061000
269,cplex,1,20,5000,621,0,1,0,36330000,12331000,22000,48683000
270,cplex,1,20,10000,3,0,1,0,195285000,26394000,26000,221705000
271,cplex,1,20,10000,1327,0,1,0,68227000,23703000,21000,91951000
272,cplex,1,20,10000,757,0,1,0,214794000,23447000,22000,238263000
273,cplex,1,20,10000,5461,0,1,0,71345000,25468000,22000,96835000
274,cplex,1,20,10000,3589,0,1,0,69781000,23961000,22000,93764000
275,cplex,1,20,10000,73,0,1,0,220414000,23928000,48000,244390000
276,cplex,1,20,10000,2151,0,1,0,68700000,24710000,21000,93431000
277,cplex,1,20,10000,580,0,1,0,70929000,28258000,23000,99210000
278,cplex,1,20,10000,2663,0,1,0,69815000,25204000,21000,95040000
279,cplex,1,20,10000,1435,0,1,0,68718000,25646000,22000,94386000
280,cplex,1,20,10000,1220,0,1,0,67149000,28504000,22000,95675000
281,cplex,1,20,10000,1881,0,1,0,71880000,25093000,21000,96994000
282,cplex,1,20,10000,621,0,1,0,68238000,26100000,21000,94359000
283,cplex,1,20,10000,3286,0,1,0,399889000,27460000,22000,427371000
284,cplex,1,20,10000,1623,0,1,0,72747000,25295000,28000,98070000
285,cplex,1,20,10000,4917,0,1,0,73449000,26207000,23000,99679000
286,cplex,1,20,10000,982,0,1,0,73006000,26101000,26000,99133000
287,cplex,1,20,10000,2140,0,1,0,70037000,27629000,21000,97687000
288,cplex,1,20,10000,8067,0,1,0,69400000,25146000,33000,94579000
289,cplex,1,20,10000,3036,0,1,0,73637000,29255000,23000,102915000
290,cplex,1,20,10000,886,0,1,0,72246000,28169000,24000,100439000
291,cplex,1,20,10000,270,0,1,0,68506000,24731000,21000,93258000
292,cplex,1,20,10000,3347,0,1,0,67491000,27047000,22000,94560000
293,cplex,1,20,10000,1167,0,1,0,67733000,26114000,19000,93866000
294,cplex,1,20,10000,3227,0,1,0,67998000,26926000,19000,94943000
295,cplex,1,20,10000,1855,0,1,0,69235000,27695000,23000,96953000
296,cplex,1,20,10000,3,0,1,0,74965000,24567000,23000,99555000
297,cplex,1,20,10000,5065,0,1,0,103252000,66817000,31000,170100000
298,cplex,1,20,10000,2155,0,1,0,67976000,26139000,20000,94135000
299,cplex,1,20,10000,793,0,1,0,68649000,27208000,19000,95876000
300,cplex,5,5,100,1,0,1,0,2774000,221682000,76000,224532000
301,cplex,5,5,100,2,0,1,0,2014000,9477000,36000,11527000
302,cplex,5,5,100,3,0,1,0,2259000,14975000,25000,17259000
303,cplex,5,5,100,1,0,1,0,1997000,3863000,48000,5908000
304,cplex,5,5,100,13,0,1,0,2102000,2059000,26000,4187000
305,cplex,5,5,100,1,0,1,0,1992000,37624000,26000,39642000
306,cplex,5,5,100,1,0,1,0,1930000,6185000,26000,8141000
307,cplex,5,5,100,3,0,1,0,1966000,9064000,26000,11056000
308,cplex,5,5,100,1,0,1,0,2068000,16105000,26000,18199000
309,cplex,5,5,100,3,0,1,0,2014000,2027000,20000,4061000
310,cplex,5,5,100,3,0,1,0,2011000,18601000,29000,20641000
311,cplex,5,5,100,1,0,1,0,2139000,2104000,24000,4267000
312,cplex,5,5,100,5,0,1,0,1967000,2692000,24000,4683000
313,cplex,5,5,100,1,0,1,0,2197000,9174000,41000,11412000
314,cplex,5,5,100,5,0,1,0,1928000,2101000,43000,4072000
315,cplex,5,5,100,5,0,1,0,2615000,9525000,27000,12167000
316,cplex,5,5,100,1,0,1,0,1941000,15283000,25000,17249000
317,cplex,5,5,100,1,0,1,0,1961000,6927000,31000,8919000
318,cplex,5,5,100,1,0,1,0,1978000,4440000,25000,6443000
319,cplex,5,5,100,3,0,1,0,1907000,2105000,19000,4031000
320,cplex,5,5,100,2,0,1,0,1997000,5234000,26000,7257000
321,cplex,5,5,100,2,0,1,0,1976000,3376000,54000,5406000
322,cplex,5,5,100,3,0,1,0,2039000,2678000,639000,5356000
323,cplex,5,5,100,1,0,1,0,1935000,22298000,25000,24258000
324,cplex,5,5,100,4,0,1,0,1897000,2727000,25000,4649000
325,cplex,5,5,100,2,0,1,0,2170000,5582000,26000,7778000
326,cplex,5,5,100,1,0,1,0,2097000,9240000,26000,11363000
327,cplex,5,5,100,1,0,1,0,2139000,12087000,25000,14251000
328,cplex,5,5,100,1,0,1,0,2050000,11599000,26000,13675000
329,cplex,5,5,100,1,0,1,0,2260000,9070000,26000,11356000
330,cplex,5,5,500,6,0,1,0,9520000,7700000,25000,17245000
331,cplex,5,5,500,61,0,1,0,8684000,8097000,34000,16815000
332,cplex,5,5,500,1,0,1,0,8812000,30041000,26000,38879000
333,cplex,5,5,500,2,0,1,0,8955000,31448000,32000,40435000
334,cplex,5,5,500,1,0,1,0,9409000,31028000,26000,40463000
335,cplex,5,5,500,11,0,1,0,9023000,7932000,27000,16982000
336,cplex,5,5,500,20,0,1,0,9241000,9615000,43000,18899000
337,cplex,5,5,500,3,0,1,0,8733000,33198000,34000,41965000
338,cplex,5,5,500,1,0,1,0,8812000,39542000,25000,48379000
339,cplex,5,5,500,88,0,1,0,9118000,6981000,36000,16135000
340,cplex,5,5,500,3,0,1,0,9011000,30402000,45000,39458000
341,cplex,5,5,500,11,0,1,0,8901000,7713000,23000,16637000
342,cplex,5,5,500,1,0,1,0,8947000,42549000,25000,51521000
343,cplex,5,5,500,33,0,1,0,9021000,30217000,27000,39265000
344,cplex,5,5,500,3,0,1,0,9170000,33225000,26000,42421000
345,cplex,5,5,500,1,0,1,0,9103000,8514000,27000,17644000
346,cplex,5,5,500,5,0,1,0,9036000,31423000,25000,40484000
